Year,Location,Total Sentences
2017,South Auckland Justice Service Area,8314
2017,Waikato Justice Service Area,5705
2017,Bay of Plenty Justice Service Area,4194
2017,Waiariki Justice Service Area,3482
2017,East Coast Justice Service Area,4158
2017,Taranaki/Whanganui Justice Service Area,3142
2017,Manawatū/Wairarapa Justice Service Area,3140
2017,Northern Wellington Justice Service Area,3013
2017,Wellington Justice Service Area,1735
2017,Nelson/Marlborough/West Coast Justice Service Area,2464
2017,Canterbury Justice Service Area,6633
2017,Otago Justice Service Area,2345
2017,Southland Justice Service Area,2173
2018,Total Regions,64354
2018,Te Tai Tokerau Justice Service Area,3578
2018,Auckland Justice Service Area,5408
2018,South Auckland Justice Service Area,8046
2018,Waikato Justice Service Area,5957
2018,Bay of Plenty Justice Service Area,4301
2018,Waiariki Justice Service Area,3496
2018,East Coast Justice Service Area,4387
2018,Taranaki/Whanganui Justice Service Area,3188
2018,Manawatū/Wairarapa Justice Service Area,3251
2018,Northern Wellington Justice Service Area,3006
2018,Wellington Justice Service Area,1647
2018,Nelson/Marlborough/West Coast Justice Service Area,2578
2018,Canterbury Justice Service Area,5884
2018,Otago Justice Service Area,2421
2018,Southland Justice Service Area,2183
2019,Total Regions,60622
2019,Te Tai Tokerau Justice Service Area,3205
2019,Auckland Justice Service Area,4931
2019,South Auckland Justice Service Area,7762
2019,Waikato Justice Service Area,5501
2019,Bay of Plenty Justice Service Area,4154
2019,Waiariki Justice Service Area,3205
2019,East Coast Justice Service Area,4305
2019,Taranaki/Whanganui Justice Service Area,2858
2019,Manawatū/Wairarapa Justice Service Area,3049
2019,Northern Wellington Justice Service Area,2842
2019,Wellington Justice Service Area,1479
2019,Nelson/Marlborough/West Coast Justice Service Area,2307
2019,Canterbury Justice Service Area,5628
2019,Otago Justice Service Area,2384
2019,Southland Justice Service Area,2050
2020,Total Regions,56964
2020,Te Tai Tokerau Justice Service Area,3197
2020,Auckland Justice Service Area,4626
2020,South Auckland Justice Service Area,7151
2020,Waikato Justice Service Area,5127
2020,Bay of Plenty Justice Service Area,3820
2020,Waiariki Justice Service Area,3073
2020,East Coast Justice Service Area,4173
2020,Taranaki/Whanganui Justice Service Area,2701
2020,Manawatū/Wairarapa Justice Service Area,2882
2020,Northern Wellington Justice Service Area,2524
2020,Wellington Justice Service Area,1361
2020,Nelson/Marlborough/West Coast Justice Service Area,2188
2020,Canterbury Justice Service Area,5253
2020,Otago Justice Service Area,2141
2020,Southland Justice Service Area,1905
2021,Total Regions,51838
2021,Te Tai Tokerau Justice Service Area,2915
2021,Auckland Justice Service Area,3811
2021,South Auckland Justice Service Area,6363
2021,Waikato Justice Service Area,4886
2021,Bay of Plenty Justice Service Area,3575
2021,Waiariki Justice Service Area,2873
2021,East Coast Justice Service Area,3804
2021,Taranaki/Whanganui Justice Service Area,2639
2021,Manawatū/Wairarapa Justice Service Area,2704
2021,Northern Wellington Justice Service Area,2386
2021,Wellington Justice Service Area,1235
2021,Nelson/Marlborough/West Coast Justice Service Area,2040
2021,Canterbury Justice Service Area,4947
2021,Otago Justice Service Area,1994
2021,Southland Justice Service Area,1638
2022,Total Regions,45767
2022,Te Tai Tokerau Justice Service Area,2903
2022,Auckland Justice Service Area,2925
2022,South Auckland Justice Service Area,4740
2022,Waikato Justice Service Area,4012
2022,Bay of Plenty Justice Service Area,3504
2022,Waiariki Justice Service Area,2695
2022,East Coast Justice Service Area,3518
2022,Taranaki/Whanganui Justice Service Area,2530
2022,Manawatū/Wairarapa Justice Service Area,2552
2022,Northern Wellington Justice Service Area,2026
2022,Wellington Justice Service Area,1161
2022,Nelson/Marlborough/West Coast Justice Service Area,1887
2022,Canterbury Justice Service Area,4833
2022,Otago Justice Service Area,1832
2022,Southland Justice Service Area,1540
2023,Total Regions,47428
2023,Te Tai Tokerau Justice Service Area,2594
2023,Auckland Justice Service Area,3724
2023,South Auckland Justice Service Area,6123
2023,Waikato Justice Service Area,4335
2023,Bay of Plenty Justice Service Area,3377
2023,Waiariki Justice Service Area,2934
2023,East Coast Justice Service Area,3342
2023,Taranaki/Whanganui Justice Service Area,2336
2023,Manawatū/Wairarapa Justice Service Area,2248
2023,Northern Wellington Justice Service Area,1782
2023,Wellington Justice Service Area,1068
2023,Nelson/Marlborough/West Coast Justice Service Area,1798
2023,Canterbury Justice Service Area,4466
2023,Otago Justice Service Area,1751
2023,Southland Justice Service Area,1544
2024,Total Regions,49298
2024,Te Tai Tokerau Justice Service Area,2781
2024,Auckland Justice Service Area,4297
2024,South Auckland Justice Service Area,6426
